iter	Passed	Remaining
174	395	1864
175	397	1863
176	400	1864
177	403	1864
178	405	1861
179	408	1859
180	410	1859
181	413	1858
182	416	1857
183	418	1855
184	420	1853
185	423	1851
186	425	1850
187	428	1849
188	430	1847
189	433	1846
190	435	1843
191	437	1840
192	439	1839
193	442	1836
194	444	1834
195	446	1832
196	449	1831
197	451	1829
198	453	1826
199	456	1824
200	459	1824
201	461	1822
202	463	1819
203	465	1817
204	468	1815
205	470	1812
206	472	1809
207	474	1806
208	476	1803
209	478	1800
210	481	1799
211	483	1796
212	485	1793
213	487	1790
214	489	1787
215	491	1784
216	493	1781
217	497	1783
218	499	1781
219	501	1779
220	504	1777
221	506	1774
222	508	1771
223	510	1768
224	513	1767
225	515	1764
226	517	1761
227	519	1758
228	521	1756
229	523	1753
230	525	1750
231	528	1748
232	530	1745
233	532	1742
234	534	1740
235	536	1737
236	539	1735
237	541	1733
238	544	1732
239	546	1731
240	548	1728
241	550	1725
242	553	1724
243	555	1722
244	558	1720
245	560	1719
246	563	1717
247	565	1714
248	567	1711
249	569	1708
250	571	1705
251	573	1703
252	576	1701
253	578	1698
254	580	1695
255	582	1692
256	584	1690
257	587	1689
258	589	1686
259	592	1685
260	594	1682
261	596	1679
262	598	1676
263	600	1672
264	603	1672
265	604	1669
266	607	1667
267	609	1665
268	612	1663
269	614	1660
270	616	1657
271	618	1656
272	621	1654
273	623	1652
274	625	1650
275	628	1648
276	630	1645
277	632	1643
278	635	1643
279	638	1640
280	640	1639
281	643	1637
282	645	1635
283	647	1633
284	650	1631
285	652	1628
286	654	1626
287	657	1624
288	659	1621
289	661	1618
290	663	1615
291	665	1613
292	667	1610
293	670	1609
294	672	1606
295	674	1604
296	676	1602
297	678	1599
298	680	1596
299	683	1593
300	685	1591
301	687	1588
302	689	1586
303	691	1583
304	693	1580
305	695	1578
306	698	1576
307	700	1573
308	702	1571
309	705	1569
310	707	1567
311	709	1563
312	711	1560
313	713	1558
314	715	1556
315	718	1554
316	720	1551
317	722	1548
318	724	1546
319	726	1544
320	729	1542
321	731	1540
322	733	1538
323	736	1536
324	738	1534
325	741	1532
326	743	1529
327	745	1527
328	747	1525
329	750	1523
330	752	1520
331	754	1518
332	756	1516
333	758	1513
334	761	1510
335	763	1508
336	765	1506
337	768	1504
338	770	1502
339	772	1499
340	774	1497
341	776	1494
342	778	1492
343	781	1489
344	783	1487
345	786	1486
346	788	1484
347	790	1481
348	793	1479
349	795	1477
350	797	1474
351	800	1473
352	802	1471
353	805	1469
354	807	1466
355	810	1465
356	812	1463
357	814	1461
358	817	1458
359	819	1456
360	821	1453
361	823	1451
362	825	1448
363	827	1446
364	830	1444
365	833	1443
366	835	1441
367	837	1438
368	839	1436
369	842	1434
370	844	1432
371	846	1429
372	849	1427
373	851	1425
374	853	1422
375	855	1419
376	857	1417
377	859	1414
378	862	1412
379	864	1410
380	866	1408
381	868	1405
382	871	1403
383	873	1400
384	875	1398
385	877	1396
386	879	1393
387	882	1391
388	884	1388
389	886	1386
390	889	1384
391	891	1382
392	893	1380
393	895	1377
394	898	1375
395	900	1373
396	902	1370
397	905	1369
398	908	1367
399	910	1365
400	912	1363
401	914	1360
402	917	1358
403	920	1357
404	922	1355
405	925	1354
406	928	1352
407	930	1350
408	933	1348
409	935	1345
410	937	1343
411	940	1341
412	942	1339
413	945	1338
414	948	1337
415	951	1335
416	953	1333
417	956	1331
418	959	1329
419	962	1329
420	965	1327
421	967	1324
422	969	1322
423	972	1320
424	974	1318
425	977	1317
426	979	1314
427	981	1311
428	983	1309
429	986	1307
430	988	1305
431	991	1303
432	993	1300
433	995	1298
434	997	1295
435	999	1293
436	1001	1290
437	1003	1288
438	1006	1285
439	1008	1283
440	1010	1281
441	1013	1279
442	1015	1276
443	1017	1274
444	1019	1272
445	1022	1269
446	1025	1268
447	1027	1266
448	1029	1263
449	1031	1260
450	1033	1258
451	1036	1256
452	1038	1254
